ownerId,quesId,summary,tags
139513,245265,Book where humans and robots co-existed and slaves could earn freedom through playing games,"story-identification,books"
10736,10123,What are some good car-crafts for long trips?,kids-crafts
225071,289044,Critical query plans removed from sys.dm_exec_query_stats while trivial items are kept,"sql-server,sql-server-2019,plan-cache"
117182,163111,What is this “bridge” over the Suez Canal?,egypt
850223,4085404,Can we integrate over a summation index?,integration
3713,161813,How to resolve merge conflicts in Git repository?,"git,git-merge,merge-conflict-resolution,git-merge-conflict"
108103,139302,Why can't my LLC get a credit card when the owner has credit history and a good credit score?,"credit-card,banking,small-business,business"
92727,222652,Check B-powersmoothness,"code-golf,math,decision-problem"
7730,43684,Why does the FDA recommend only 50g of protein for an adult male?,"diet,protein"
3943,50540,Would the median household income in the USA be $140K and mean net worth $800K if wealth were evenly distributed,"united-states,economics,demographics"
28719,109170,Slitherlink: Around the W0rld,"logical-deduction,grid-deduction,seasonal,humor,slitherlink"
24,4635,Are there reliable cloud computing services for matter modeling?,cloud-computing
137921,165728,How do I voice my opinion that the teaching of students is being neglected?,"ethics,united-states,teaching,teaching-assistant"
70322,183504,When specifically stated “this weapon is magical for overcoming resistances” does that mean it does full damage against a character in rage,"dnd-5e,barbarian,damage-resistance,rage"
97843,221167,Why were the screws set in pairs in my drywall?,"drywall,walls,renovation"
20458,563913,Is “Blitzkrieg” a word that average native speaker would understand?,"meaning,meaning-in-context"
38153,163140,Usage of cash in Europe during COVID,"europe,money,covid-19"
20723,139311,Landlord making up charges,"united-states,rent,landlord,pennsylvania"
58973,50532,Have any versions of “Who Wants to be a Millionaire?” had to remove the Ask the Audience lifeline due to the audience purposely voting wrong?,television
226272,590920,TikZ - Spherical triangles,tikz-pgf
557,222596,Trim elements from the ends of a list,"code-golf,array-manipulation"
79171,243823,Putting together several ListPlot 2D in a 3D graphic,"plotting,graphics3d"
87227,165743,What to do with students requesting deadline extension due to the death of a relative (but without a doctor's note)?,"academic-life,students,teaching-assistant,health,course-design"
235555,590944,Difficulties with a multicolumn and multirow table in latex,"tables,multicolumn,multirow,nicematrix"
256,339418,LWC embedded in Visualforce unable to subscribe to Platform event,"visualforce,lightning-web-components,platform-event,lightning-out"
59003,183526,What happens if a vial of acid falls from the sky?,"dnd-5e,equipment,falling"
118892,105062,Bitcoin-qt getnewaddress returns address starting with 2,"bitcoin-core,address,testnet,p2sh"
89930,222585,Un-pipe an Elixir expression,"code-golf,string"
60769,199764,What could be the the consequences in this world if nuclear bombs didn't release radiation anymore?,"alternate-history,politics,nuclear-weapons,geopolitics,nuclear-war"
162168,146843,How to remove part of an image in the shape of a font without affecting the background?,"effects,free,open-source"
83109,199775,What could prevent my world from progressing past the early industrial age?,"medieval,renaissance,industrial-age"
108054,139231,Investor Paradox. How can you calculate how much is a company worth when buying part of it changes the total value?,"investing,calculation"
214898,557501,Is it possible to generate light with an antenna?,"antenna,electromagnetism,light,electromagnetic,optoelectronics"
133350,221111,How to get a wrench into this location to remove this nut,plumbing
46053,115055,What is a refrigerator tray in older recipes?,"freezing,refrigerator,language"
21076,19437,Why did the VIC-20 and C64 have only 22 and 40 columns when the earlier PET had 80 column text?,"video,commodore"
53775,75909,"1x, 2x, 3x chainring - does it matter?",chainring
453596,7172784,How do I POST JSON data with cURL?,"json,rest,spring-mvc,curl,http-headers"
537967,5585779,How do I convert a String to an int in Java?,"java,string,int,type-conversion"
57742,109169,Red Herring Redherring,"word,knowledge,enigmatic-puzzle,visual,metapuzzles"
294860,626225,"Since the microwave background radiation came into being before stars, shouldn't all existing stars (given sufficient equipment) be visible?","cosmology,cosmic-microwave-background"
46646,415511,How to get the current time in Python,"python,datetime,time"
3041,1986896,What is the difference between call and apply?,"javascript,performance,function,dynamic"
62118,588004,Is floating point math broken?,"math,language-agnostic,floating-point,floating-accuracy"
1732709,21947452,Why is printing “B” dramatically slower than printing “#”?,"java,performance,loops,for-loop,system.out"
292719,626009,Accuracy of physics laws,"newtonian-mechanics,error-analysis,approximations,models,laws-of-physics"
9311,141088,What is the best way to iterate over a dictionary? [closed],"c#,dictionary,loops"
1354,130794,What is dependency injection?,"design-patterns,language-agnostic,dependency-injection,terminology"
259,986006,How do I pass a variable by reference?,"python,reference,parameter-passing,pass-by-reference"
1782,596351,How can I know which radio button is selected via jQuery?,"javascript,jquery,html,jquery-selectors,radio-button"
136731,245223,Why did Dumbledore say there was “precious little to celebrate” specifically over the 11 years before Voldemort failed to kill baby Harry?,harry-potter
72193,199692,How could medieval ships protect themselves from giant mermaids?,"medieval,fantasy-races,military-defense,ships,merfolk"
549757,5235142,How do I disable the resizable property of a textarea?,"html,css"
-1,263965,How can I convert a string to boolean in JavaScript?,javascript
1897,739654,How to make function decorators and chain them together?,"python,decorator,python-decorators"
176191,1452721,Why is “using namespace std;” considered bad practice?,"c++,namespaces,std,using-directives,c++-faq"
-1,1034621,Get the current URL with JavaScript?,"javascript,url"
30773,229551,How to check if a string contains a substring in Bash,"string,bash,shell,substring,sh"
4872,53513,How do I check if a list is empty?,"python,list"
314994,2785485,Is there a unique Android device ID?,"android,uniqueidentifier"
206504,1720421,How do I concatenate two lists in Python?,"python,list,concatenation"
-1,34571,"How do I test a private function or a class that has private methods, fields or inner classes?","java,unit-testing,tdd"
17693,123198,How can a file be copied?,"python,file,copy,filesystems,file-copying"
-1,351409,How to append something to an array?,"javascript,arrays,append"
46646,510348,How can I make a time delay in Python? [duplicate],"python,python-3.x,delay,sleep,timedelay"
1469282,11304895,How do I copy a folder from remote to local using scp?,"shell,command-line,copy,scp"
95956,805107,Creating multiline strings in JavaScript,"javascript,string,multiline,heredoc"
302,31044,Is there an “exists” function for jQuery?,"javascript,jquery"
137822,165637,Is it possible to run two postdocs simultaneously if one of them is “independent”?,"funding,postdocs,job,contract"
134715,138357,"Given L is a regular language, prove that Perm(L) is Context-Free","formal-languages,regular-languages,context-free,closure-properties"
264,1108,How does database indexing work? [closed],"sql,database,performance,indexing,database-indexes"
22478,280263,How do we express someone does something unconsciously while he/she is asleep?,"word-request,phrase-request"
177416,5515310,"Is there a standard function to check for null, undefined, or blank variables in JavaScript?","javascript,null,comparison,undefined"
62537,109174,Cubes touching all other cubes,geometry
802,750172,How to change the author and committer name and e-mail of multiple commits in Git?,"git,version-control,git-filter-branch,git-rewrite-history"
107855,149305,Does the SDF format has any benefit over SMILES?,cheminformatics
96180,1531093,How do I get the current date in JavaScript?,"javascript,date,date-formatting"
61989,605845,Do I cast the result of malloc?,"c,malloc,casting"
1165332,48270127,Can (a== 1 && a ==2 && a==3) ever evaluate to true?,"javascript,ecmascript-6"
15398,16805,Qiskit - Circuit drawing esthatics - can i force the measurements in my circuit show at the end?,"programming,qiskit,measurement,quantum-circuit"
505762,5404839,How can I refresh a page with jQuery?,"javascript,jquery,refresh,reload"
15579,121433,"Per the claim that Abraham kept the whole Torah, why didn't he circumcise Ishmael and all his slaves earlier?","brit-milah,abraham"
2399,21593,What is the difference between #include <filename> and #include “filename”?,"c++,c,include,header-files,c-preprocessor"
9021,332872,Encode URL in JavaScript?,"javascript,url,encode,urlencode"
2670370,37937984,Git refusing to merge unrelated histories on rebase,"git,rebase"
67219,574594,How can I create an executable JAR with dependencies using Maven?,"java,maven-2,build-process,build-automation,executable-jar"
147,5223,Length of a JavaScript object,"javascript,javascript-objects"
871050,12859942,Why shouldn't I use mysql_* functions in PHP?,"php,mysql"
4653,3552461,How to format a JavaScript date,"javascript,date,date-formatting"
134482,1139762,Ignore files that have already been committed to a Git repository [duplicate],"git,caching,version-control,gitignore,git-rm"
41021,824349,How do I modify the URL without reloading the page?,"javascript,html,url,url-rewriting,friendly-url"
245777,4351521,How do I pass command line arguments to a Node.js program?,"javascript,node.js,arguments,command-line-arguments"
826610,9339429,What does cherry-picking a commit with Git mean?,"git,cherry-pick,git-cherry-pick"
-1,4750806,How can I install pip on Windows?,"python,windows,installation,pip,easy-install"
2572,36901,What does ** (double star/asterisk) and * (star/asterisk) do for parameters?,"python,syntax,parameter-passing,variadic-functions,argument-unpacking"
245549,16476924,How to iterate over rows in a DataFrame in Pandas,"python,pandas,dataframe"
328397,3390396,How can I check for “undefined” in JavaScript? [duplicate],"javascript,undefined"
38172,1027354,I need an unordered list without any bullets,"html,css"
-1,152975,How do I detect a click outside an element?,"javascript,jquery,click"
-1,4366730,How do I check if a string contains a specific word?,"php,string,substring,contains,string-matching"
5441,171027,Add table row in jQuery,"javascript,jquery,html-table"
27222,34635,How has chess managed to remain a competitive sport despite engine dominance?,"engines,psychology,streaming"
113278,245228,"In “The Shadow of the Past”, who helped Gandalf watch the Shire while he was gone?","tolkiens-legendarium,the-lord-of-the-rings"
578832,8547778,Why are elementwise additions much faster in separate loops than in a combined loop?,"c++,performance,x86,vectorization,compiler-optimization"
72756,199857,Can a super computer be built using time dilation?,"reality-check,relativity,time-manipulation"
51816,663171,How do I get a substring of a string in Python?,"python,string,substring"
4883,48198,How can you find out which process is listening on a TCP or UDP port on Windows?,"windows,networking,port"
960956,9270734,ssh “permissions are too open” error,"permissions,ssh"
109386,221168,How can I get a bolt with no head out of my wall?,"repair,studs,bolts"
383759,3508605,How can I transition height: 0; to height: auto; using CSS?,"css,css-transitions"
69684,3042437,How to change the commit author for one specific commit?,"git,git-commit"
114066,930397,Getting the last element of a list,"python,list,indexing"
137100,4907843,Open a URL in a new tab (and not a new window),javascript
3742,78536,Deep cloning objects,"c#,.net,clone"
104015,1414365,Disable/enable an input with jQuery?,"javascript,jquery,html-input,disabled-input"
561731,5874652,.prop() vs .attr(),"javascript,jquery,dom,attr,prop"
87971,806000,How do I give text or an image a transparent background using CSS?,"html,css,opacity"
2232662,19578796,What is the --save option for npm install?,"node.js,npm"
62612,3987683,Homebrew install specific version of formula?,"installation,versioning,homebrew"
170231,1643227,Get selected text from a drop-down list (select box) using jQuery,"javascript,jquery,dom,drop-down-menu,jquery-selectors"
2437514,30081275,Why is “1000000000000000 in range(1000000000000001)” so fast in Python 3?,"python,performance,python-3.x,range,python-internals"
33203,285177,How do I call one constructor from another in Java?,"java,constructor"
80911,978061,HTTP GET with request body,"rest,http,http-get"
12870,466345,Converting string into datetime,"python,datetime"
30529,379906,How do I parse a string to a float or int?,"python,parsing,floating-point,type-conversion,integer"
16534,1128723,How do I determine whether an array contains a particular value in Java?,"java,arrays"
893,160608,Do a “git export” (like “svn export”)?,"git,export,git-archive,svn-export"
246365,2047465,How can I delete a file from a Git repository?,"git,git-rm"
27106,280066,"What's the best word to describe the harsh, unaesthetic exterior of a building?",word-request
508284,8865458,How do I vertically center text with CSS? [duplicate],"html,css,vertical-alignment"
42188,75926,What is MTB/roadbike specific in brake cables?,"brakes,cable"
52717,183513,Is this Homebrew Advantage rule broken?,"dnd-5e,house-rules,statistics,dice,advantage-and-disadvantage"
35062,287871,How to print colored text to the terminal?,"python,terminal,output,ansi-colors"
4883,948135,How to write a switch statement in Ruby,"ruby,switch-statement,conditional-statements"
1048252,8312459,Iterate through object properties,"javascript,loops,object"
181792,626151,What is the physical importance of topological quantum field theory?,"quantum-field-theory,mathematical-physics,topological-field-theory"
38684,51161,How are the electronic circuits in interplanetary missions protected from extremely low temperatures?,"thermal,temperature,electronics,thermal-control"
1504276,11346283,Renaming columns in Pandas,"python,pandas,replace,dataframe,rename"
110145,165692,Journal changed the ordering of the authors. What to do now?,"authorship,author-order"
480608,16073603,How to update each dependency in package.json to the latest version?,"node.js,npm"
1965,799981,$(document).ready equivalent without jQuery,"javascript,jquery,pageload"
22584,424964,Getting buy-in for clean code and refactoring,"project-management,refactoring,clean-code,engineering"
58743,1552340,How to list only the names of files that changed between two commits?,"git,git-diff,git-show"
93966,952924,JavaScript chop/slice/trim off last character in string,"javascript,slice,trim"
16299,90178,Make a div fill the height of the remaining screen space,"html,css,html-table"
302064,5905054,How can I recursively find all files in current and subfolders based on wildcard matching?,"linux,shell"
15214,1946426,"HTML 5: Is it <br>, <br/>, or <br />?",html
457896,3796927,How to “git clone” including submodules?,"git,git-submodules"
4490,125319,Should 'using' directives be inside or outside the namespace?,"c#,.net,namespaces,stylecop,code-organization"
-1,3577641,How do you parse and process HTML/XML in PHP?,"php,xml,parsing,xml-parsing,html-parsing"
-1,618535,"Difference between decimal, float and double in .NET?",".net,floating-point,double,decimal"
97857,222676,Fibonacci Encoding,"code-golf,integer,binary,fibonacci,coding-theory"
108099,139320,"Why a bank would propose a depositor to invest part of their money to mutual funds, instead of bank doing it itself?","investing,mutual-funds,bank-account,deposits,greece"
946,40730,What is the best way to give a C# auto-property an initial value?,"c#,constructor,getter,setter,automatic-properties"
2668128,22049212,Docker: Copying files from Docker container to host,"docker,docker-container,file-copying"
455137,4059147,Check if a variable is a string in JavaScript,"javascript,string"
65503,657447,Vim clear last search highlighting,"vim,full-text-search,highlight"
-1,137975,What is so bad about singletons? [closed],"design-patterns,singleton"
68541,73261,Why does one say IP fragmentation is bad and to be avoided when in reality data always needs to be fragmented for MTU compatibility?,"ipv4,tcp,udp,osi,fragmentation"
40376,31388,Artificial decomposition in Scrum,"scrum,estimation,sprint,refinement"
254740,247809,How to protect a <input type='password'/> from XSS?,xss
206504,1712227,How do I get the number of elements in a list?,"python,list"
586131,10725729,See what's in a stash without applying it [duplicate],"git,git-stash"
553670,5947742,How to change the output color of echo in Linux,"linux,bash,command-line,echo,terminal-color"
-1,206384,How do I format a Microsoft JSON date?,"jquery,asp.net,ajax,json"
27109,194852,How to concatenate text from multiple rows into a single text string in SQL server?,"sql,sql-server,csv,string-concatenation,group-concat"
21384,493386,How to print without newline or space?,"python,newline"
-1,242813,When should I use double or single quotes in JavaScript?,"javascript,string,conventions"
12149,409784,What's the simplest way to print a Java array?,"java,arrays,printing"
28324,2901102,How to print a number with commas as thousands separators in JavaScript,"javascript,formatting,numbers,integer"
246114,3087975,How to change the cursor into a hand when a user hovers over a list item?,css
58249,489340,Vertically align text next to an image?,"html,css,alignment,vertical-alignment"
546661,7825055,What does the ??!??! operator do in C?,"c,operators,trigraphs"
431505,3572463,What is 'Context' on Android?,"android,android-context"
9951,101754,Is there a way to run Python on Android?,"android,python,jython,ase,android-scripting"
4682,151969,When to use self over $this?,"php,class,oop,scope"
269080,384085,How can I permanently ban someone on my Minecraft server?,"minecraft-bedrock-edition,minecraft-bedrock-edition-server"
144179,138257,Multiple selection,"usability,multi-selection,pricing"
47831,446594,Abort Ajax requests using jQuery,"javascript,jquery,ajax"
101258,2225038,Determine the type of an object?,"python,dictionary,types,typeof"
83110,199678,How would you slow down a large object traveling through space?,"science-based,technology"
58961,572897,How does JavaScript .prototype work?,"javascript,dynamic-languages,prototype-oriented"
60102,500431,What is the scope of variables in JavaScript?,"javascript,function,variables,scope,var"
-1,556405,"What do 'real', 'user' and 'sys' mean in the output of time(1)?","unix,time,benchmarking"
20830,44533,Logic of Emptiness still unconvincing. Please help explain,"mahayana,sunyata,shunyata"
22996,1016896,How to get screen dimensions as pixels in Android,"android,layout,screen,pixel,dimensions"
5769,113045,How to return only the Date from a SQL Server DateTime datatype,"sql,sql-server,tsql,date,datetime"
1292093,1638256,why isn't 255.255.249.0 a valid subnet mask?,"networking,desktop-computer,window,subnet,mask"
78000,24319662,"From inside of a Docker container, how do I connect to the localhost of the machine?","nginx,docker,reverse-proxy,docker-networking"
60102,500504,Why is using “for…in” for array iteration a bad idea?,"javascript,arrays,loops,for-loop,iteration"
15108,886955,How do I break out of nested loops in Java?,"java,loops,nested-loops"
52566,2016901,Viewing unpushed Git commits,"git,git-diff,git-log"
417810,7073484,How do CSS triangles work?,"css,geometry,polygon,css-shapes"
2657951,109325,PostgreSQL “DESCRIBE TABLE”,"postgresql,psql,table-structure"
52913,495021,Why can templates only be implemented in the header file?,"c++,templates,undefined-reference,c++-faq"
1473493,375913,How can I profile C++ code running on Linux?,"c++,linux,profiling"
44984,406192,Get current URL with jQuery?,"javascript,jquery,url"
19410,106508,What is a smart pointer and when should I use one?,"c++,pointers,c++11,smart-pointers,c++-faq"
128983,2194808,“Debug certificate expired” error in Eclipse Android plugins,"android,eclipse,certificate"
120898,987142,Make .gitignore ignore everything except a few files,"git,gitignore"
893,89332,How to recover a dropped stash in Git?,"git,recovery,git-stash"
4872,306400,How to randomly select an item from a list?,"python,list,random"
121,3061,Calling a function of a module by using its name (a string),"python,object"
106410,5343068,Is there a way to cache GitHub credentials for pushing commits?,"git,authentication,github,git-push,git-config"
667236,5410757,"How to delete from a text file, all lines that contain a specific string?","shell,sed,text-parsing,in-place"
2631856,133031,How to check if a column exists in a SQL Server table?,"sql-server,sql-server-2008,tsql,sql-server-2012,sql-server-2016"
23973,155609,What's the difference between a method and a function?,"function,oop,methods,language-agnostic,terminology"
113124,2145590,What is the purpose of .PHONY in a Makefile?,"makefile,phony-target"
166067,3295496,What is a JavaBean exactly?,"java,javabeans,serializable"
518838,4459379,Preview an image before it is uploaded,"javascript,jquery,file-upload"
-1,442404,"Retrieve the position (X,Y) of an HTML element relative to the browser window","javascript,html,css,dom,position"
24923,169511,How do I iterate over a range of numbers defined by variables in Bash?,"bash,shell,for-loop,syntax"
121086,218039,How to get a “smoothed” wireframe using Freestyle lines?,"rendering,shaders,freestyle"
783783,6237295,How can I update NodeJS and NPM to the next versions?,"node.js,linux,npm,node-modules,npm-update"
101152,2763006,Make the current Git branch a master branch,git
282329,2496710,Writing files in Node.js,"javascript,node.js,file,express,fs"
309343,8073673,How can I add new array elements at the beginning of an array in Javascript?,"javascript,arrays"
-1,306252,How to align checkboxes and their labels consistently cross-browsers,"html,css,cross-browser,alignment,forms"
140811,2641347,Short circuit Array.forEach like calling break,"javascript,arrays,foreach"
99317,997482,Does Java support default parameter values?,"java,methods,parameters,overloading,default-parameters"
260127,3601515,How to check if a variable is set in Bash?,"bash,shell,variables"
292553,2518127,How to reload .bashrc settings without logging out and back in again?,"bash,shell,terminal,reload,profile"
125848,1041866,What is the effect of extern “C” in C++?,"c++,c,linkage,name-mangling,extern-c"
51816,735975,Static methods in Python?,"python,static-methods"
646276,12481639,Remove files from Git commit,"git,git-commit"
1031797,15182496,Why does this code using random strings print “hello world”?,"java,string,random"
27358,5097456,Throw away local commits in Git,git
1624921,18641899,What is the difference between Bower and npm?,"javascript,npm,bower"
64878,1144805,Scroll to the top of the page using JavaScript?,"javascript,scroll"
-1,33923,What is tail recursion?,"algorithm,language-agnostic,functional-programming,recursion,tail-recursion"
-1,275018,How can I remove a trailing newline?,"python,newline,trailing"
4907,60208,Replacements for switch statement in Python?,"python,switch-statement"
222893,2600191,How can I count the occurrences of a list item?,"python,list,count"
-1,109383,"Sort a Map<Key, Value> by values","java,sorting,dictionary,collections"
42707,954560,How does Git handle symbolic links?,"git,version-control,symlink"
883147,9229601,What is “:-!!” in C code?,"c,linux,macros,linux-kernel"
17744,4099742,How to compare files from two different branches?,"git,git-diff"
77775,982677,Command to collapse all sections of code?,visual-studio
-1,4706499,How do you append to a file?,"python,file,append"
283863,21692646,How does Facebook disable the browser's integrated Developer Tools?,"javascript,facebook,google-chrome-devtools"
11568,469059,<button> vs. <input type=“button” />. Which to use?,"html,html-input"
404623,44206782,Do I commit the package-lock.json file created by npm 5?,"node.js,git,npm,version-control,lockfile"
5056,31079081,Programmatically navigate using React router,"reactjs,react-router"
77413,1358540,How can I count all the lines of code in a directory recursively?,"bash,shell"
-1,1126726,How can I make a UITextField move up when the keyboard is present - on starting to edit?,"ios,objective-c,uiscrollview,uitextfield,uikeyboard"
51816,627435,How to remove an element from a list by index,"python,list,indexing"
380562,3740152,How to change permissions for a folder and its subfolders/files in one step?,"linux,permissions,directory,chmod"
18909,510972,Getting the class name of an instance?,"python,introspection,instanceof,python-datamodel"
40115,354038,How do I check if a string is a number (float)?,"python,casting,floating-point,type-conversion"
95914,3177733,"How can I avoid Java code in JSP files, using JSP 2?","java,jsp,scriptlet"
16981,133925,JavaScript post request like a form submit,"javascript,forms,post,submit"
493,12051,Calling the base constructor in C#,"c#,.net,inheritance,constructor"
51816,9573244,How to check if the string is empty?,"python,string,comparison-operators"
1409636,391483,What is the difference between an abstract function and a virtual function?,"oop,language-agnostic,abstract,virtual-functions"
193251,3518002,How can I set the default value for an HTML <select> element?,"html,html-select"
1091828,8511281,Check if a value is an object in JavaScript,"javascript,types,javascript-objects"
73297,5772192,How can I reconcile detached HEAD with master/origin?,git
814908,9229645,Remove duplicate values from JS array [duplicate],"javascript,arrays,duplicates,unique"
44848,355089,Difference between StringBuilder and StringBuffer,"java,stringbuilder,stringbuffer"
182690,1568091,Why use getters and setters/accessors?,"java,oop,setter,getter,abstraction"
116176,983030,"Type Checking: typeof, GetType, or is?","c#,types,typeof,gettype"
129322,1911015,How do I debug Node.js applications?,"javascript,node.js,debugging,google-chrome-devtools"
129638,11269256,How to name and retrieve a stash by name in git?,"git,git-stash"
1513286,12135518,Is < faster than <=?,"c++,performance,assembly,relational-operators"
333255,13148066,Warning: push.default is unset; its implicit value is changing in Git 2.0,"git,version-control,git-push"
-1,339007,How to pad zeroes to a string?,"python,string,zero-padding"
63051,876239,How to redirect and append both stdout and stderr to a file with Bash?,"bash,append,stdout,io-redirection,stderr"
20426,10228760,How do I fix a Git detached head?,"git,git-detached-head"
3533365,37576685,Using async/await with a forEach loop,"javascript,node.js,promise,async-await,ecmascript-2017"
1028599,8479058,How do I find Waldo with Mathematica?,"image-processing,wolfram-mathematica"
6364715,37364973,What is the difference between Promises and Observables?,"angular,promise,rxjs,angular-promise,angular-observable"
168500,1450393,How do you read from stdin?,"python,stdin"
55661,115049,"Why doesn't a microwave heat the air around food, in addition to the food itself?","microwave,heat"
898042,10382929,How to fix java.lang.UnsupportedClassVersionError: Unsupported major.minor version,"java,jvm,incompatibility,unsupported-class-version"
-1,2155930,How do I remedy “The breakpoint will not currently be hit. No symbols have been loaded for this document.” warning?,"c#,.net,visual-studio,debugging,breakpoints"
201088,8928403,Try-catch speeding up my code?,"c#,.net,clr,try-catch,performance-testing"
124119,14551194,How are parameters sent in an HTTP POST request?,"http,post,parameters,request,uri"
9084,226703,How do I prompt for Yes/No/Cancel input in a Linux shell script?,"linux,bash,shell,scripting"
173432,5411538,Redirect from an HTML page,"html,redirect,xhtml,meta,html-head"
768392,9899372,Pure JavaScript equivalent of jQuery's $.ready() - how to call a function when the page/DOM is ready for it [duplicate],"javascript,jquery,html"
235297,2928584,How to grep (search) committed code in the Git history,"git,grep,diff"
5074,85190,How does the Java 'for each' loop work?,"java,foreach,syntactic-sugar"
1277669,17982111,Sass Variable in CSS calc() function,"css,sass,css-calc"
165873,1584370,How to merge two arrays in JavaScript and de-duplicate items,"javascript,arrays,merge"
95267,1168807,How can I add a key/value pair to a JavaScript object?,"javascript,object-literal"
650574,6565357,Git push requires username and password,"authentication,github,git-push,git-pull,git-clone"
11236,1149703,How can I convert a stack trace to a string?,"java,stack-trace,tostring"
-1,338156,Table Naming Dilemma: Singular vs. Plural Names [closed],"sql,sql-server,naming-conventions"
415784,7627098,What is a lambda expression in C++11?,"c++,lambda,c++11,c++-faq"
-1,11,Calculate relative time in C#,"c#,datetime,time,datediff,relative-time-span"
49153,834303,startsWith() and endsWith() functions in PHP,"php,string"
105685,972307,How to loop through all enum values in C#? [duplicate],"c#,.net,enums,language-features"
1214219,9314534,Why does changing 0.1f to 0 slow down performance by 10x?,"c++,performance,visual-studio-2010,compilation,floating-point"
63550,1521462,Looping through the content of a file in Bash,"linux,bash,loops,unix,io"
218196,20279484,How to access the correct `this` inside a callback?,"javascript,callback,this"
9021,432493,How do you access the matched groups in a JavaScript regular expression?,"javascript,regex"
143269,4210042,How to exclude a directory in find . command,"linux,shell,find"
334715,642966,Why does “file xxx.src” lead to “cannot open `xxx.src' (No such file or directory)” but has an exit status of 0 (success)?,"linux,exit-status,file-command"
164148,1251999,How can I replace a newline (\n) using sed?,sed
139,6040,Linearizing a quadratic function with more variables or not in Gurobi?,"mixed-integer-programming,linearization,gurobi,quadratic-programming"
207752,3239598,How can I get the ID of an element using jQuery?,"jquery,jquery-selectors"
117642,2276572,How do you do block comments in YAML?,"comments,yaml"
310678,7677736,Git diff against a stash,"git,git-stash"
-1,1143262,"What is the difference between const int*, const int * const, and int const *?","c++,c,pointers,constants,c++-faq"
1408611,25078285,Replacing a 32-bit loop counter with 64-bit introduces crazy performance deviations with _mm_popcnt_u64 on Intel CPUs,"c++,performance,assembly,x86,compiler-optimization"
257022,3996904,Generate random integers between 0 and 9,"python,random,integer"
3208,49925,What is the difference between UNION and UNION ALL?,"sql,union,union-all"
1231428,10660435,Pythonic way to create a long multi-line string,"python,string,multiline,multilinestring"
15173,10175812,How to create a self-signed certificate with OpenSSL,"ssl,openssl,certificate,ssl-certificate,x509certificate"
132257,2342579,HTTP status code for update and delete?,"http,http-status-codes"
66475,1753070,How do I configure git to ignore some files locally?,"git,ignore,gitignore"
118547,1817792,Is there a “previous sibling” selector?,"css,css-selectors"
1994764,1992019,Rails: How can I rename a database column in a Ruby on Rails migration?,"ruby-on-rails,ruby-on-rails-3,migration,rename,alter-table"
543601,10558465,Memcached vs. Redis? [closed],"caching,web-applications,memcached,redis"
716439,5725296,Difference between sh and bash,"bash,shell,unix,sh"
1042555,21692193,Why not inherit from List<T>?,"c#,.net,list,oop,inheritance"
1448,109086,Stop setInterval call in JavaScript,"javascript,dom-events,setinterval"
-1,44965,What is a monad?,"haskell,functional-programming,monads,terminology"
183528,36827659,Compiling an application for use in highly radioactive environments,"c++,c,gcc,embedded,fault-tolerance"
4220,2950319,Is null check needed before calling instanceof?,"java,nullpointerexception,null"
151292,3601602,"What are rvalues, lvalues, xvalues, glvalues, and prvalues?","c++,expression,c++-faq,c++11"
303221,3397113,How to remove focus border (outline) around text/input boxes? (Chrome) [duplicate],"css,google-chrome,input,focus,border"
