answers,ownerId,quesId,summary,tags,views,votes
1,47669,64554,Construction I need help clarifying in Otfried Preußler's “Krabat”,"idioms,pronouns",9,9
34,170231,1643227,Get selected text from a drop-down list (select box) using jQuery,"javascript,jquery,dom,drop-down-menu,jquery-selectors",2373,2373
49,3742,78536,Deep cloning objects,"c#,.net,clone",2360,2360
30,62612,3987683,Homebrew install specific version of formula?,"installation,versioning,homebrew",2368,2368
52,383759,3508605,How can I transition height: 0; to height: auto; using CSS?,"css,css-transitions",2309,2309
5,509271,7229885,What are the differences between .gitignore and .gitkeep?,"git,gitignore",2159,2159
18,561731,5874652,.prop() vs .attr(),"javascript,jquery,dom,attr,prop",2373,2373
14,114066,930397,Getting the last element of a list,"python,list,indexing",2353,2353
26,93966,952924,JavaScript chop/slice/trim off last character in string,"javascript,slice,trim",2170,2170
3,108099,139320,"Why a bank would propose a depositor to invest part of their money to mutual funds, instead of bank doing it itself?","investing,mutual-funds,bank-account,deposits,greece",8,8
25,4883,948135,How to write a switch statement in Ruby,"ruby,switch-statement,conditional-statements",2160,2160
30,1048252,8312459,Iterate through object properties,"javascript,loops,object",2164,2164
6,125138,171041,Taking over another fired developers role,"work-experience,promotion,careers,developer,professional-development",6,6
39,1965,799981,$(document).ready equivalent without jQuery,"javascript,jquery,pageload",2165,2165
1,413121,417971,Store matching files in icloud AND on Mac and Macbook,"macos,icloud,data-synchronization",3,3
14,58743,1552340,How to list only the names of files that changed between two commits?,"git,git-diff,git-show",2170,2170
28,1504276,11346283,Renaming columns in Pandas,"python,pandas,replace,dataframe,rename",2158,2158
34,480608,16073603,How to update each dependency in package.json to the latest version?,"node.js,npm",2165,2165
4,1362,18255,What limits a PIN diode or varicap from being used in a “Software Defined [Radio] Filter”?,"software-defined-radio,equipment-design,filter,capacitance",6,6
30,15214,1946426,"HTML 5: Is it <br>, <br/>, or <br />?",html,2173,2173
17,302064,5905054,How can I recursively find all files in current and subfolders based on wildcard matching?,"linux,shell",2169,2169
17,457896,3796927,How to “git clone” including submodules?,"git,git-submodules",2187,2187
12,178732,6430448,Why doesn't GCC optimize a*a*a*a*a*a to (a*a*a)*(a*a*a)?,"gcc,assembly,floating-point,compiler-optimization,fast-math",2188,2188
18,-1,618535,"Difference between decimal, float and double in .NET?",".net,floating-point,double,decimal",2176,2176
30,-1,3577641,How do you parse and process HTML/XML in PHP?,"php,xml,parsing,xml-parsing,html-parsing",2179,2179
36,16299,90178,Make a div fill the height of the remaining screen space,"html,css,html-table",2175,2175
18,101126,822811,Showing which files have changed between two revisions,"git,branch,git-branch,git-diff",2194,2194
12,4490,125319,Should 'using' directives be inside or outside the namespace?,"c#,.net,namespaces,stylecop,code-organization",2177,2177
18,149738,1232040,How do I empty an array in JavaScript?,"javascript,arrays",2197,2197
17,184046,5062614,How to decide when to use Node.js?,"javascript,node.js,web-applications",2194,2194
42,65374,541487,“implements Runnable” vs “extends Thread” in Java,"java,multithreading,runnable,implements,java-threads",2201,2201
44,13054,387453,How do you display code snippets in MS Word preserving format and syntax highlighting?,ms-word,2208,2208
10,48082,2067472,"What is JSONP, and why was it created?","javascript,json,jsonp,terminology",2242,2242
30,40842,1200621,How do I declare and initialize an array in Java?,"java,arrays",2199,2199
7,140719,4421706,What are the basic rules and idioms for operator overloading?,"c++,operators,operator-overloading,c++-faq",2232,2232
24,358,2056,What are MVP and MVC and what is the difference?,"user-interface,model-view-controller,design-patterns,terminology,mvp",2208,2208
5,858922,6797984,How do I lowercase a string in Python?,"python,string,uppercase,lowercase",2246,2246
40,-1,450903,How can I make a div not larger than its contents?,"html,css,width",2226,2226
33,2443,235839,Indent multiple lines quickly in vi,"vim,editor,indentation,vi",2241,2241
30,8221725,52522565,Git is not working after macOS Update (xcrun: error: invalid active developer path (/Library/Developer/CommandLineTools),"xcode,git,macos,command-line,terminal",2237,2237
49,76371,1054558,Vertically align text to top within a UILabel,"ios,cocoa-touch,uikit,uilabel,text-alignment",2244,2244
16,73371,793858,How to mkdir only if a directory does not already exist?,"shell,scripting,ksh,aix,mkdir",2227,2227
51,5309,287903,What is the preferred syntax for defining enums in JavaScript?,"javascript,syntax,enums",2226,2226
14,1146469,18875674,"What's the difference between dependencies, devDependencies and peerDependencies in npm package.json file?","node.js,npm,dependencies,package.json",2256,2256
22,142,37628,What is reflection and why is it useful?,"java,reflection,terminology",2250,2250
8,252000,4172722,What is The Rule of Three?,"c++,copy-constructor,assignment-operator,c++-faq,rule-of-three",2257,2257
28,91,136035,Catch multiple exceptions at once?,"c#,.net,exception",2284,2284
29,863084,6827752,"What's the difference between @Component, @Repository & @Service annotations in Spring?","java,spring,spring-mvc,annotations",2241,2241
40,45603,472906,How do I get a consistent byte representation of strings in C# without manually specifying an encoding?,"c#,.net,string,character-encoding",2255,2255
32,45654,918886,How do I split a string on a delimiter in Bash?,"bash,shell,split,scripting",2264,2264
50,324085,2720014,How to upgrade all Python packages with pip,"python,pip",2255,2255
14,91757,1587846,How do I show the changes which have been staged?,"git,diff,dvcs,git-diff,git-stage",2250,2250
24,246365,2047465,How can I delete a file from a Git repository?,"git,git-rm",2158,2158
19,16974,306583,How to get the children of the $(this) selector?,"javascript,jquery,jquery-selectors",2284,2284
40,41508,492994,Compare two dates with JavaScript,"javascript,date,datetime,compare",2193,2193
32,281488,2647867,How can I determine if a variable is 'undefined' or 'null'?,"javascript,jquery,variables,null,undefined",2290,2290
33,1104384,14494747,How to add images to README.md on GitHub?,"github,markdown,github-flavored-markdown,readme",2289,2289
52,1915046,17666249,How do I import an SQL file using the command line in MySQL?,"mysql,sql,command-line,import",2271,2271
1,8111,19470,What was the 1 MHz bus used for on the BBC micro series?,"bbc-micro,ports",7,7
2,413073,417927,Explanation /bin/bash -c “$(curl -fsSL https://raw.githubusercontent.com/Homebrew/install/HEAD/install.sh)”,"macos,command-line,bash,homebrew",4,4
30,553670,5947742,How to change the output color of echo in Linux,"linux,bash,command-line,echo,terminal-color",2044,2044
9,206504,1712227,How do I get the number of elements in a list?,"python,list",2045,2045
1,586131,10725729,See what's in a stash without applying it [duplicate],"git,git-stash",2042,2042
20,2668128,22049212,Docker: Copying files from Docker container to host,"docker,docker-container,file-copying",2037,2037
36,-1,137975,What is so bad about singletons? [closed],"design-patterns,singleton",2034,2034
22,946,40730,What is the best way to give a C# auto-property an initial value?,"c#,constructor,getter,setter,automatic-properties",2043,2043
47,27109,194852,How to concatenate text from multiple rows into a single text string in SQL server?,"sql,sql-server,csv,string-concatenation,group-concat",2058,2058
41,-1,206384,How do I format a Microsoft JSON date?,"jquery,asp.net,ajax,json",2061,2061
43,-1,242813,When should I use double or single quotes in JavaScript?,"javascript,string,conventions",2059,2059
22,21384,493386,How to print without newline or space?,"python,newline",2057,2057
33,12149,409784,What's the simplest way to print a Java array?,"java,arrays,printing",2061,2061
25,455137,4059147,Check if a variable is a string in JavaScript,"javascript,string",2035,2035
32,65503,657447,Vim clear last search highlighting,"vim,full-text-search,highlight",2039,2039
50,28324,2901102,How to print a number with commas as thousands separators in JavaScript,"javascript,formatting,numbers,integer",2056,2056
7,-1,556405,"What do 'real', 'user' and 'sys' mean in the output of time(1)?","unix,time,benchmarking",1898,1898
2,49646,165773,What is the meaning of “person specification” in a job advert?,"mathematics,postdocs,application-cover-letter,research-statement",3,3
42,22996,1016896,How to get screen dimensions as pixels in Android,"android,layout,screen,pixel,dimensions",1887,1887
37,15108,886955,How do I break out of nested loops in Java?,"java,loops,nested-loops",1902,1902
18,47831,446594,Abort Ajax requests using jQuery,"javascript,jquery,ajax",1890,1890
26,52566,2016901,Viewing unpushed Git commits,"git,git-diff,git-log",1909,1909
13,101258,2225038,Determine the type of an object?,"python,dictionary,types,typeof",1895,1895
21,417810,7073484,How do CSS triangles work?,"css,geometry,polygon,css-shapes",1910,1910
44,5769,113045,How to return only the Date from a SQL Server DateTime datatype,"sql,sql-server,tsql,date,datetime",1890,1890
33,78000,24319662,"From inside of a Docker container, how do I connect to the localhost of the machine?","nginx,docker,reverse-proxy,docker-networking",1906,1906
27,60102,500504,Why is using “for…in” for array iteration a bad idea?,"javascript,arrays,loops,for-loop,iteration",1906,1906
17,52913,495021,Why can templates only be implemented in the header file?,"c++,templates,undefined-reference,c++-faq",1917,1917
24,120898,987142,Make .gitignore ignore everything except a few files,"git,gitignore",1935,1935
22,2657951,109325,PostgreSQL “DESCRIBE TABLE”,"postgresql,psql,table-structure",1930,1930
19,1473493,375913,How can I profile C++ code running on Linux?,"c++,linux,profiling",1930,1930
17,128983,2194808,“Debug certificate expired” error in Eclipse Android plugins,"android,eclipse,certificate",1933,1933
32,44984,406192,Get current URL with jQuery?,"javascript,jquery,url",1931,1931
14,19410,106508,What is a smart pointer and when should I use one?,"c++,pointers,c++11,smart-pointers,c++-faq",1933,1933
20,893,89332,How to recover a dropped stash in Git?,"git,recovery,git-stash",1935,1935
3,123249,247844,Is it safe to share .git folder of a public repo?,"privacy,git,information-exposure",10,10
27,-1,442404,"Retrieve the position (X,Y) of an HTML element relative to the browser window","javascript,html,css,dom,position",1780,1780
19,282329,2496710,Writing files in Node.js,"javascript,node.js,file,express,fs",1785,1785
28,518838,4459379,Preview an image before it is uploaded,"javascript,jquery,file-upload",1778,1778
15,101152,2763006,Make the current Git branch a master branch,git,1794,1794
39,-1,306252,How to align checkboxes and their labels consistently cross-browsers,"html,css,cross-browser,alignment,forms",1794,1794
20,24923,169511,How do I iterate over a range of numbers defined by variables in Bash?,"bash,shell,for-loop,syntax",1781,1781
15,4872,306400,How to randomly select an item from a list?,"python,list,random",1936,1936
51,783783,6237295,How can I update NodeJS and NPM to the next versions?,"node.js,linux,npm,node-modules,npm-update",1779,1779
29,140811,2641347,Short circuit Array.forEach like calling break,"javascript,arrays,foreach",1794,1794
5,220274,2862590,"How to replace master branch in Git, entirely, from another branch? [duplicate]","git,merge,git-branch",1814,1814
25,99317,997482,Does Java support default parameter values?,"java,methods,parameters,overloading,default-parameters",1804,1804
10,51816,735975,Static methods in Python?,"python,static-methods",1808,1808
18,292553,2518127,How to reload .bashrc settings without logging out and back in again?,"bash,shell,terminal,reload,profile",1805,1805
15,125848,1041866,What is the effect of extern “C” in C++?,"c++,c,linkage,name-mangling,extern-c",1806,1806
15,1031797,15182496,Why does this code using random strings print “hello world”?,"java,string,random",1812,1812
15,309343,8073673,How can I add new array elements at the beginning of an array in Javascript?,"javascript,arrays",1795,1795
36,260127,3601515,How to check if a variable is set in Bash?,"bash,shell,variables",1794,1794
32,646276,12481639,Remove files from Git commit,"git,git-commit",1807,1807
29,-1,33923,What is tail recursion?,"algorithm,language-agnostic,functional-programming,recursion,tail-recursion",1809,1809
8,1624921,18641899,What is the difference between Bower and npm?,"javascript,npm,bower",1811,1811
37,2616601,17846529,Could not open a connection to your authentication agent,"git,ssh,ssh-agent",1776,1776
42,-1,41107,How to generate a random alpha-numeric string,"java,string,random,alphanumeric",1815,1815
27,-1,275018,How can I remove a trailing newline?,"python,newline,trailing",1813,1813
20,27358,5097456,Throw away local commits in Git,git,1711,1711
44,64878,1144805,Scroll to the top of the page using JavaScript?,"javascript,scroll",1711,1711
44,4907,60208,Replacements for switch statement in Python?,"python,switch-statement",1717,1717
15,11568,469059,<button> vs. <input type=“button” />. Which to use?,"html,html-input",1722,1722
5,883147,9229601,What is “:-!!” in C code?,"c,linux,macros,linux-kernel",1723,1723
12,17744,4099742,How to compare files from two different branches?,"git,git-diff",1724,1724
116,-1,2155930,How do I remedy “The breakpoint will not currently be hit. No symbols have been loaded for this document.” warning?,"c#,.net,visual-studio,debugging,breakpoints",1719,1719
4,42707,954560,How does Git handle symbolic links?,"git,version-control,symlink",1722,1722
27,222893,2600191,How can I count the occurrences of a list item?,"python,list,count",1721,1721
20,77775,982677,Command to collapse all sections of code?,visual-studio,1726,1726
13,-1,4706499,How do you append to a file?,"python,file,append",1727,1727
46,77413,1358540,How can I count all the lines of code in a directory recursively?,"bash,shell",1728,1728
59,-1,109383,"Sort a Map<Key, Value> by values","java,sorting,dictionary,collections",1720,1720
95,-1,1126726,How can I make a UITextField move up when the keyboard is present - on starting to edit?,"ios,objective-c,uiscrollview,uitextfield,uikeyboard",1729,1729
12,283863,21692646,How does Facebook disable the browser's integrated Developer Tools?,"javascript,facebook,google-chrome-devtools",1729,1729
35,5056,31079081,Programmatically navigate using React router,"reactjs,react-router",1729,1729
2,10736,10123,What are some good car-crafts for long trips?,kids-crafts,8,8
19,11439,73319,How to duplicate a whole line in Vim?,"eclipse,vim,editor,keyboard-shortcuts,vi",1730,1730
35,40115,354038,How do I check if a string is a number (float)?,"python,casting,floating-point,type-conversion",1730,1730
18,51816,627435,How to remove an element from a list by index,"python,list,indexing",1731,1731
10,18909,510972,Getting the class name of an instance?,"python,introspection,instanceof,python-datamodel",1622,1622
12,404623,44206782,Do I commit the package-lock.json file created by npm 5?,"node.js,git,npm,version-control,lockfile",1731,1731
30,95914,3177733,"How can I avoid Java code in JSP files, using JSP 2?","java,jsp,scriptlet",1710,1710
12,493,12051,Calling the base constructor in C#,"c#,.net,inheritance,constructor",1626,1626
31,16981,133925,JavaScript post request like a form submit,"javascript,forms,post,submit",1623,1623
29,193251,3518002,How can I set the default value for an HTML <select> element?,"html,html-select",1627,1627
14,116176,983030,"Type Checking: typeof, GetType, or is?","c#,types,typeof,gettype",1631,1631
1,24984,121443,"If God removed prophecy from the gentiles because of Bilaam's wickedness, how come that Obadiah who was a gentile was a prophet?","talmud-gemara,gentiles,torah-study,midrash,bilam",1,1
13,87227,165743,What to do with students requesting deadline extension due to the death of a relative (but without a doctor's note)?,"academic-life,students,teaching-assistant,health,course-design",25,25
27,1409636,391483,What is the difference between an abstract function and a virtual function?,"oop,language-agnostic,abstract,virtual-functions",1627,1627
26,73297,5772192,How can I reconcile detached HEAD with master/origin?,git,1630,1630
54,814908,9229645,Remove duplicate values from JS array [duplicate],"javascript,arrays,duplicates,unique",1631,1631
25,51816,9573244,How to check if the string is empty?,"python,string,comparison-operators",1628,1628
48,1091828,8511281,Check if a value is an object in JavaScript,"javascript,types,javascript-objects",1632,1632
32,44848,355089,Difference between StringBuilder and StringBuffer,"java,stringbuilder,stringbuffer",1632,1632
21,129638,11269256,How to name and retrieve a stash by name in git?,"git,git-stash",1638,1638
14,1513286,12135518,Is < faster than <=?,"c++,performance,assembly,relational-operators",1633,1633
40,182690,1568091,Why use getters and setters/accessors?,"java,oop,setter,getter,abstraction",1633,1633
2,166165,389072,What is the category of covariant and contravariant functors?,ct.category-theory,6,6
25,3533365,37576685,Using async/await with a forEach loop,"javascript,node.js,promise,async-await,ecmascript-2017",1638,1638
5,1028599,8479058,How do I find Waldo with Mathematica?,"image-processing,wolfram-mathematica",1551,1551
39,129322,1911015,How do I debug Node.js applications?,"javascript,node.js,debugging,google-chrome-devtools",1633,1633
5,22478,280263,How do we express someone does something unconsciously while he/she is asleep?,"word-request,phrase-request",3,3
22,168500,1450393,How do you read from stdin?,"python,stdin",1553,1553
25,95267,1168807,How can I add a key/value pair to a JavaScript object?,"javascript,object-literal",1556,1556
1,102176,245304,80s film where a group of kids are stuck in a orbiting space shuttle and receive advice from a female astronaut,story-identification,19,19
16,235297,2928584,How to grep (search) committed code in the Git history,"git,grep,diff",1563,1563
31,6364715,37364973,What is the difference between Promises and Observables?,"angular,promise,rxjs,angular-promise,angular-observable",1552,1552
8,124119,14551194,How are parameters sent in an HTTP POST request?,"http,post,parameters,request,uri",1557,1557
