answers,ownerId,quesId,summary,tags,views,votes
8,20830,44533,Logic of Emptiness still unconvincing. Please help explain,"mahayana,sunyata,shunyata",5,5
8,72756,199857,Can a super computer be built using time dilation?,"reality-check,relativity,time-manipulation",15,15
6,294860,626225,"Since the microwave background radiation came into being before stars, shouldn't all existing stars (given sufficient equipment) be visible?","cosmology,cosmic-microwave-background",15,15
3,52717,183513,Is this Homebrew Advantage rule broken?,"dnd-5e,house-rules,statistics,dice,advantage-and-disadvantage",11,11
3,50422,82576,What is the biblical basis for Jesus' eternal pre-existence (as opposed to having been created a long time ago)?,"biblical-basis,christology,creation,time,eternity",5,5
2,123249,247844,Is it safe to share .git folder of a public repo?,"privacy,git,information-exposure",7,7
3,9217,15694,Is “mens semita tua” the correct translation for “mind your path”?,"english-to-latin-translation,translation-check,motto",6,6
2,79149,243897,Changing the repeated number on a list,list-manipulation,4,4
1,35750,54541,An exiled planeswalker returned with loyalty higher than printed in Arena,"magic-the-gathering,mtg-arena",2,2
5,40304,58474,Matthew 27:46 Why does Jesus not address God as Father?,"matthew,jesus,names-of-god,crucifixion",3,3
2,52101,100084,Why does UV radiation from the Sun cause skin cancer?,"cancer,biophysics,skin,radiation,uv",7,7
1,413121,417971,Store matching files in icloud AND on Mac and Macbook,"macos,icloud,data-synchronization",3,3
3,136731,245223,Why did Dumbledore say there was “precious little to celebrate” specifically over the 11 years before Voldemort failed to kill baby Harry?,harry-potter,22,22
4,178152,590997,Best way to replicate this in latex,"equations,align,matrices",4,4
4,64956,100082,How come there aren't many competing biologies on earth?,"biochemistry,dna,biophysics,abiogenesis",19,19
1,102176,245304,80s film where a group of kids are stuck in a orbiting space shuttle and receive advice from a female astronaut,story-identification,16,16
3,108099,139320,"Why a bank would propose a depositor to invest part of their money to mutual funds, instead of bank doing it itself?","investing,mutual-funds,bank-account,deposits,greece",8,8
2,39182,51141,"Why have SpaceX skipped the SpaceX Starship SN12, SN13, and SN14?","spacex,spacex-starship",20,20
25,453596,7172784,How do I POST JSON data with cURL?,"json,rest,spring-mvc,curl,http-headers",3173,3173
8,60769,199764,What could be the the consequences in this world if nuclear bombs didn't release radiation anymore?,"alternate-history,politics,nuclear-weapons,geopolitics,nuclear-war",10,10
48,537967,5585779,How do I convert a String to an int in Java?,"java,string,int,type-conversion",3186,3186
3,68541,73261,Why does one say IP fragmentation is bad and to be avoided when in reality data always needs to be fragmented for MTU compatibility?,"ipv4,tcp,udp,osi,fragmentation",13,13
25,-1,1034621,Get the current URL with JavaScript?,"javascript,url",3227,3227
20,557,222596,Trim elements from the ends of a list,"code-golf,array-manipulation",14,14
43,46646,415511,How to get the current time in Python,"python,datetime,time",3197,3197
3,28067,63275,"In open-list voting systems, how do political parties ensure their leaders (and key figures) get elected?","election,parliament,parties,voting-systems,proportional-representation",3,3
25,3041,1986896,What is the difference between call and apply?,"javascript,performance,function,dynamic",3207,3207
29,259,986006,How do I pass a variable by reference?,"python,reference,parameter-passing,pass-by-reference",2836,2836
37,1354,130794,What is dependency injection?,"design-patterns,language-agnostic,dependency-injection,terminology",3217,3217
4,50677,75946,Recommendations on how to buy clipless bike shoes,"shoes,clipless,pedals-clipless",3,3
4,1362,18255,What limits a PIN diode or varicap from being used in a “Software Defined [Radio] Filter”?,"software-defined-radio,equipment-design,filter,capacitance",6,6
2,38190,389060,Colimits of residually finite groups,gr.group-theory,3,3
1,24984,121443,"If God removed prophecy from the gentiles because of Bilaam's wickedness, how come that Obadiah who was a gentile was a prophet?","talmud-gemara,gentiles,torah-study,midrash,bilam",1,1
7,214898,557501,Is it possible to generate light with an antenna?,"antenna,electromagnetism,light,electromagnetic,optoelectronics",20,20
30,9311,141088,What is the best way to iterate over a dictionary? [closed],"c#,dictionary,loops",2825,2825
39,1782,596351,How can I know which radio button is selected via jQuery?,"javascript,jquery,html,jquery-selectors,radio-button",2838,2838
16,83109,199775,What could prevent my world from progressing past the early industrial age?,"medieval,renaissance,industrial-age",6,6
90,-1,263965,How can I convert a string to boolean in JavaScript?,javascript,2846,2846
39,176191,1452721,Why is “using namespace std;” considered bad practice?,"c++,namespaces,std,using-directives,c++-faq",2847,2847
3,107855,149305,Does the SDF format have any benefit over SMILES?,cheminformatics,8,8
3,1732709,21947452,Why is printing “B” dramatically slower than printing “#”?,"java,performance,loops,for-loop,system.out",2813,2813
43,177416,5515310,"Is there a standard function to check for null, undefined, or blank variables in JavaScript?","javascript,null,comparison,undefined",2525,2525
3,256,339418,How to subscribe to events from LWC embedded in Visualforce,"visualforce,lightning-web-components,platform-event,lightning-out",7,7
8,264,1108,How does database indexing work? [closed],"sql,database,performance,indexing,database-indexes",2548,2548
26,30773,229551,How to check if a string contains a substring in Bash,"string,bash,shell,substring,sh",2858,2858
5,133350,221111,How to get a wrench into this location to remove this nut?,"plumbing,hand-tools",14,14
4,55661,115049,"Why doesn't a microwave heat the air around food, in addition to the food itself?","microwave,heat",8,8
54,96180,1531093,How do I get the current date in JavaScript?,"javascript,date,date-formatting",2535,2535
29,61989,605845,Do I cast the result of malloc?,"c,malloc,casting",2533,2533
26,1165332,48270127,Can (a== 1 && a ==2 && a==3) ever evaluate to true?,"javascript,ecmascript-6",2545,2545
2,25544,109197,Find X and Y so that they are never equal,"mathematics,number-theory",3,3
2,49646,165773,What is the meaning of “person specification” in a job advert?,"mathematics,postdocs,application-cover-letter,research-statement",4,4
28,505762,5404839,How can I refresh a page with jQuery?,"javascript,jquery,refresh,reload",2557,2557
26,89930,222585,Un-pipe an Elixir expression,"code-golf,string",24,24
2,56730,86271,What options are there in Canada for treatment of severe depression and anxiety for pilots?,"helicopter,general-aviation,medical,canada",11,11
37,802,750172,How to change the author and committer name and e-mail of multiple commits in Git?,"git,version-control,git-filter-branch,git-rewrite-history",2548,2548
31,67219,574594,How can I create an executable JAR with dependencies using Maven?,"java,maven-2,build-process,build-automation,executable-jar",2564,2564
30,2399,21593,What is the difference between #include <filename> and #include “filename”?,"c++,c,include,header-files,c-preprocessor",2561,2561
20,9021,332872,Encode URL in JavaScript?,"javascript,url,encode,urlencode",2582,2582
19,41021,824349,How do I modify the URL without reloading the page?,"javascript,html,url,url-rewriting,friendly-url",2589,2589
24,2670370,37937984,Git refusing to merge unrelated histories on rebase,"git,rebase",2566,2566
2,71935,113370,MuseScore 3 Prevent Grouping (Beaming) Notes,"musescore,beaming",2,2
31,245777,4351521,How do I pass command line arguments to a Node.js program?,"javascript,node.js,arguments,command-line-arguments",2587,2587
12,871050,12859942,Why shouldn't I use mysql_* functions in PHP?,"php,mysql",2568,2568
10,578832,8547778,Why are elementwise additions much faster in separate loops than in a combined loop?,"c++,performance,x86,vectorization,compiler-optimization",2309,2309
2,45588,183534,How to surpass Construct's Hardness with no heavy-hitter at low level?,"pathfinder-2e,tactics,constructs",6,6
39,147,5223,Length of a JavaScript object,"javascript,javascript-objects",2578,2578
13,87227,165743,What to do with students requesting deadline extension due to the death of a relative (but without a doctor's note)?,"academic-life,students,teaching-assistant,health,course-design",25,25
17,97857,222676,Fibonacci Encoding,"code-golf,integer,binary,fibonacci,coding-theory",16,16
32,137100,4907843,Open a URL in a new tab (and not a new window),javascript,2337,2337
9,20458,563913,Is “Blitzkrieg” a word that average native speaker would understand?,"meaning,meaning-in-context",12,12
31,960956,9270734,ssh “permissions are too open” error,"permissions,ssh",2349,2349
14,51816,663171,How do I get a substring of a string in Python?,"python,string,substring",2333,2333
30,87971,806000,How do I give text or an image a transparent background using CSS?,"html,css,opacity",2363,2363
52,383759,3508605,How can I transition height: 0; to height: auto; using CSS?,"css,css-transitions",2309,2309
21,69684,3042437,How to change the commit author for one specific commit?,"git,git-commit",2353,2353
11,2437514,30081275,Why is “1000000000000000 in range(1000000000000001)” so fast in Python 3?,"python,performance,python-3.x,range,python-internals",2366,2366
49,3742,78536,Deep cloning objects,"c#,.net,clone",2360,2360
14,114066,930397,Getting the last element of a list,"python,list,indexing",2353,2353
18,561731,5874652,.prop() vs .attr(),"javascript,jquery,dom,attr,prop",2373,2373
5,37467,63714,Is it legal for an oil company to charge customers a different price per gallon for the same oil?,consumer-protection,7,7
34,170231,1643227,Get selected text from a drop-down list (select box) using jQuery,"javascript,jquery,dom,drop-down-menu,jquery-selectors",2373,2373
3,57742,109169,Red Herring Redherring,"word,knowledge,enigmatic-puzzle,visual,metapuzzles",29,29
19,104015,1414365,Disable/enable an input with jQuery?,"javascript,jquery,html-input,disabled-input",2375,2375
13,2232662,19578796,What is the --save option for npm install?,"node.js,npm",2390,2390
23,12870,466345,Converting string into datetime,"python,datetime",2393,2393
10,125099,170987,My tasks at work have turned away from what I applied to. How do I get back on track?,"communication,new-job,job-description,netherlands",48,48
23,33203,285177,How do I call one constructor from another in Java?,"java,constructor",2393,2393
37,5475,965053,Extract filename and extension in Bash,"bash,string,filenames",2305,2305
30,62612,3987683,Homebrew install specific version of formula?,"installation,versioning,homebrew",2368,2368
2,24,4635,What are some cloud services for computing?,"one-topic-per-answer,high-performance-computing",8,8
5,509271,7229885,What are the differences between .gitignore and .gitkeep?,"git,gitignore",2159,2159
28,1504276,11346283,Renaming columns in Pandas,"python,pandas,replace,dataframe,rename",2158,2158
17,302064,5905054,How can I recursively find all files in current and subfolders based on wildcard matching?,"linux,shell",2169,2169
25,4883,948135,How to write a switch statement in Ruby,"ruby,switch-statement,conditional-statements",2160,2160
39,1965,799981,$(document).ready equivalent without jQuery,"javascript,jquery,pageload",2165,2165
18,-1,618535,"Difference between decimal, float and double in .NET?",".net,floating-point,double,decimal",2176,2176
36,16299,90178,Make a div fill the height of the remaining screen space,"html,css,html-table",2175,2175
26,93966,952924,JavaScript chop/slice/trim off last character in string,"javascript,slice,trim",2170,2170
30,1048252,8312459,Iterate through object properties,"javascript,loops,object",2164,2164
30,15214,1946426,"HTML 5: Is it <br>, <br/>, or <br />?",html,2173,2173
14,58743,1552340,How to list only the names of files that changed between two commits?,"git,git-diff,git-show",2170,2170
34,480608,16073603,How to update each dependency in package.json to the latest version?,"node.js,npm",2165,2165
1,310553,517781,Is a spline interpolation considered to be a nonparametric model?,"nonparametric,terminology,splines,definition,interpolation",11,11
17,457896,3796927,How to “git clone” including submodules?,"git,git-submodules",2187,2187
12,4490,125319,Should 'using' directives be inside or outside the namespace?,"c#,.net,namespaces,stylecop,code-organization",2177,2177
17,92727,222652,Check B-powersmoothness,"code-golf,math,decision-problem",15,15
30,-1,3577641,How do you parse and process HTML/XML in PHP?,"php,xml,parsing,xml-parsing,html-parsing",2179,2179
12,178732,6430448,Why doesn't GCC optimize a*a*a*a*a*a to (a*a*a)*(a*a*a)?,"gcc,assembly,floating-point,compiler-optimization,fast-math",2188,2188
1,3943,50544,Has the distribution of income and wealth in the USA got much more skewed towards the rich in the last 4 decades?,"united-states,economics,demographics,wealth",17,17
5,22478,280263,How do we express someone does something unconsciously while he/she is asleep?,"word-request,phrase-request",3,3
8,22584,424964,Getting buy-in for clean code and refactoring,"project-management,refactoring,clean-code,engineering",25,25
36,-1,137975,What is so bad about singletons? [closed],"design-patterns,singleton",2034,2034
1,586131,10725729,See what's in a stash without applying it [duplicate],"git,git-stash",2042,2042
40,41508,492994,Compare two dates with JavaScript,"javascript,date,datetime,compare",2193,2193
25,455137,4059147,Check if a variable is a string in JavaScript,"javascript,string",2035,2035
22,946,40730,What is the best way to give a C# auto-property an initial value?,"c#,constructor,getter,setter,automatic-properties",2043,2043
20,2668128,22049212,Docker: Copying files from Docker container to host,"docker,docker-container,file-copying",2037,2037
32,65503,657447,Vim clear last search highlighting,"vim,full-text-search,highlight",2039,2039
9,206504,1712227,How do I get the number of elements in a list?,"python,list",2045,2045
50,28324,2901102,How to print a number with commas as thousands separators in JavaScript,"javascript,formatting,numbers,integer",2056,2056
30,553670,5947742,How to change the output color of echo in Linux,"linux,bash,command-line,echo,terminal-color",2044,2044
22,21384,493386,How to print without newline or space?,"python,newline",2057,2057
43,-1,242813,When should I use double or single quotes in JavaScript?,"javascript,string,conventions",2059,2059
33,12149,409784,What's the simplest way to print a Java array?,"java,arrays,printing",2061,2061
4,546661,7825055,What does the ??!??! operator do in C?,"c,operators,trigraphs",2071,2071
23,58249,489340,Vertically align text next to an image?,"html,css,alignment,vertical-alignment",2069,2069
47,27109,194852,How to concatenate text from multiple rows into a single text string in SQL server?,"sql,sql-server,csv,string-concatenation,group-concat",2058,2058
67,-1,149055,How to format numbers as currency string?,"javascript,formatting,currency",2029,2029
41,-1,206384,How do I format a Microsoft JSON date?,"jquery,asp.net,ajax,json",2060,2060
42,22996,1016896,How to get screen dimensions as pixels in Android,"android,layout,screen,pixel,dimensions",1887,1887
13,101258,2225038,Determine the type of an object?,"python,dictionary,types,typeof",1895,1895
7,-1,556405,"What do 'real', 'user' and 'sys' mean in the output of time(1)?","unix,time,benchmarking",1898,1898
37,15108,886955,How do I break out of nested loops in Java?,"java,loops,nested-loops",1902,1902
33,78000,24319662,"From inside of a Docker container, how do I connect to the localhost of the machine?","nginx,docker,reverse-proxy,docker-networking",1906,1906
18,47831,446594,Abort Ajax requests using jQuery,"javascript,jquery,ajax",1890,1890
44,5769,113045,How to return only the Date from a SQL Server DateTime datatype,"sql,sql-server,tsql,date,datetime",1890,1890
27,60102,500504,Why is using “for…in” for array iteration a bad idea?,"javascript,arrays,loops,for-loop,iteration",1906,1906
26,52566,2016901,Viewing unpushed Git commits,"git,git-diff,git-log",1909,1909
17,52913,495021,Why can templates only be implemented in the header file?,"c++,templates,undefined-reference,c++-faq",1917,1917
22,2657951,109325,PostgreSQL “DESCRIBE TABLE”,"postgresql,psql,table-structure",1930,1930
14,19410,106508,What is a smart pointer and when should I use one?,"c++,pointers,c++11,smart-pointers,c++-faq",1933,1933
17,128983,2194808,“Debug certificate expired” error in Eclipse Android plugins,"android,eclipse,certificate",1933,1933
32,44984,406192,Get current URL with jQuery?,"javascript,jquery,url",1931,1931
24,120898,987142,Make .gitignore ignore everything except a few files,"git,gitignore",1935,1935
8,38153,163140,Usage of cash in Europe during COVID,"europe,money,covid-19",6,6
21,417810,7073484,How do CSS triangles work?,"css,geometry,polygon,css-shapes",1910,1910
19,1473493,375913,How can I profile C++ code running on Linux?,"c++,linux,profiling",1930,1930
19,282329,2496710,Writing files in Node.js,"javascript,node.js,file,express,fs",1785,1785
28,518838,4459379,Preview an image before it is uploaded,"javascript,jquery,file-upload",1778,1778
51,783783,6237295,How can I update NodeJS and NPM to the next versions?,"node.js,linux,npm,node-modules,npm-update",1779,1779
20,24923,169511,How do I iterate over a range of numbers defined by variables in Bash?,"bash,shell,for-loop,syntax",1781,1781
39,-1,306252,How to align checkboxes and their labels consistently cross-browsers,"html,css,cross-browser,alignment,forms",1794,1794
27,-1,442404,"Retrieve the position (X,Y) of an HTML element relative to the browser window","javascript,html,css,dom,position",1780,1780
29,140811,2641347,Short circuit Array.forEach like calling break,"javascript,arrays,foreach",1794,1794
15,309343,8073673,How can I add new array elements at the beginning of an array in Javascript?,"javascript,arrays",1794,1794
15,101152,2763006,Make the current Git branch a master branch,git,1794,1794
25,99317,997482,Does Java support default parameter values?,"java,methods,parameters,overloading,default-parameters",1804,1804
36,260127,3601515,How to check if a variable is set in Bash?,"bash,shell,variables",1794,1794
2,32618,591046,Beamer XeLaTeX Unicode,"beamer,xetex,unicode",4,4
answers,ownerId,quesId,summary,tags,views,votes
0,1612428,53375422,How does pytorch's parallel method and distributed method work?,"python-3.x,parallel-processing,pytorch,distributed-computing",41,41
0,3291744,36733638,Representing Parametric Survival Model in 'Counting Process' form in JAGS,"r,bayesian,survival-analysis,jags,weibull",224,224
1,1669996,42728757,MarkerClick works but InfoWindowClick does not open ViewModel,"android,google-maps,xamarin,xamarin.android,mvvmcross",39,39
0,5021148,54541969,Tensorflow Compile Runs Forever,"python,tensorflow,compilation,bazel",41,41
3,50422,82576,What is the biblical basis for Jesus' eternal pre-existence (as opposed to having been created a long time ago)?,"biblical-basis,christology,creation,time,eternity",5,5
0,1461210,17406954,Is it possible to directly apply an affine transformation matrix to a Mayavi ImageActor object?,"python,transformation,mayavi",41,41
2,4556202,28462466,Google Calendar Push Notifications SetUp,"php,calendar,google-calendar-api,google-api-php-client",40,40
2,39182,51141,"Why have SpaceX skipped the SpaceX Starship SN12, SN13, and SN14?","spacex,spacex-starship",20,20
6,294860,626225,"Since the microwave background radiation came into being before stars, shouldn't all existing stars (given sufficient equipment) be visible?","cosmology,cosmic-microwave-background",15,15
3,28067,63275,"In open-list voting systems, how do political parties ensure their leaders (and key figures) get elected?","election,parliament,parties,voting-systems,proportional-representation",3,3
3,256,339418,How to subscribe to events from LWC embedded in Visualforce,"visualforce,lightning-web-components,platform-event,lightning-out",7,7
1,3370217,46847627,Is there a way to emulate a Android OS upgrade scenario on AVD emulator?,"android,android-emulator,apk",39,39
1,3063048,28296633,Android Usage Access for Android 5 Samsung devices,"android,android-5.0-lollipop,samsung-mobile,usage-statistics",39,39
0,1302488,50384943,RAML 1.0 representation of Java Map,"java,raml,raml-java-parser,raml-1.0",38,38
1,113278,245228,"In “The Shadow of the Past”, who helped Gandalf watch the Shire while he was gone?","tolkiens-legendarium,the-lord-of-the-rings",36,36
3,9217,15694,Is “mens semita tua” the correct translation for “mind your path”?,"english-to-latin-translation,translation-check,motto",6,6
5,125138,171041,Taking over another fired developers role,"work-experience,promotion,careers,developer,professional-development",5,5
2,84593,199943,Sea traversing ecosystem/ship?,"flora,ships,shipbuilding",4,4
2,24,4635,What are some cloud services for computing?,"one-topic-per-answer,high-performance-computing",8,8
2,32618,591046,Beamer XeLaTeX Unicode,"beamer,xetex,unicode",4,4
5,22478,280263,How do we express someone does something unconsciously while he/she is asleep?,"word-request,phrase-request",3,3
1,89839,245320,How did Luke get his lightsaber back from Raynar Thul?,"star-wars,star-wars-legends,lightsaber,luke-skywalker",6,6
3,1292093,1638256,why isn't 255.255.249.0 a valid subnet mask?,"networking,desktop-computer,window,subnet,mask",30,30
2,71935,113370,MuseScore 3 Prevent Grouping (Beaming) Notes,"musescore,beaming",2,2
6,11795,19446,Was there a specific benefit to inverted (XOR) mouse cursors other than aesthetics?,"history,graphics,mouse",27,27
1,10069,43285,Topology on the space of measurable functions,"mathematical-economics,game-theory",5,5
2,98430,124320,Why is there a bright edge in my photos even though my studio lights provide even coverage?,studio-lighting,7,7
3,181792,626151,What is the physical importance of topological quantum field theory?,"quantum-field-theory,mathematical-physics,topological-field-theory",11,11
1,19804,45562,Head shaving when father is alive,customs,4,4
1,166165,389072,What is the category of covariant and contravariant functors?,ct.category-theory,6,6
1,52531,63135,How do market makers calculate the IV for options?,"options,derivatives",1,1
2,10736,10123,What are some good car-crafts for long trips?,kids-crafts,8,8
2,123249,247844,Is it safe to share .git folder of a public repo?,"privacy,git,information-exposure",7,7
26,89930,222585,Un-pipe an Elixir expression,"code-golf,string",24,24
3,137921,165728,How do I voice my opinion that the teaching of students is being neglected?,"ethics,united-states,teaching,teaching-assistant",19,19
8,60769,199764,What could be the the consequences in this world if nuclear bombs didn't release radiation anymore?,"alternate-history,politics,nuclear-weapons,geopolitics,nuclear-war",10,10
2,144179,138257,Multiple selection,"usability,multi-selection,pricing",7,7
2,45588,183534,How to surpass Construct's Hardness with no heavy-hitter at low level?,"pathfinder-2e,tactics,constructs",6,6
4,64956,100082,How come there aren't many competing biologies on earth?,"biochemistry,dna,biophysics,abiogenesis",19,19
3,63622,113333,Why do guitarists move fingers up and down on the same note?,"guitar,technique",7,7
3,52717,183513,Is this Homebrew Advantage rule broken?,"dnd-5e,house-rules,statistics,dice,advantage-and-disadvantage",11,11
2,25544,109197,Find X and Y so that they are never equal,"mathematics,number-theory",3,3
2,79149,243897,Changing the repeated number on a list,list-manipulation,4,4
4,20723,139311,Landlord making up charges,"united-states,rent,landlord,pennsylvania",18,18
3,31995,63727,Do you get to keep a fraudulent money transfer that you are entitled to?,"fraud,unjust-enrichment",6,6
1,3943,50544,Has the distribution of income and wealth in the USA got much more skewed towards the rich in the last 4 decades?,"united-states,economics,demographics,wealth",17,17
4,254740,247809,How to protect a <input type='password'/> from XSS?,xss,7,7
1,35750,54541,An exiled planeswalker returned with loyalty higher than printed in Arena,"magic-the-gathering,mtg-arena",2,2
4,1362,18255,What limits a PIN diode or varicap from being used in a “Software Defined [Radio] Filter”?,"software-defined-radio,equipment-design,filter,capacitance",6,6
2,58973,50532,Have any versions of “Who Wants to be a Millionaire?” had to remove the Ask the Audience lifeline due to the audience purposely voting wrong?,television,21,21
1,796085,31170380,"Bind Poses, Joint Transforms in Collada",".net,matrix,3d,collada",31,31
3,334715,642966,Why does “file xxx.src” lead to “cannot open `xxx.src' (No such file or directory)” but has an exit status of 0 (success)?,"linux,exit-status,file-command",9,9
2,733176,22094779,android libvlc multiple surface problems,"android,android-fragments,android-view,vlc,libvlc",31,31
0,575447,17722415,Zend Framework 2 Doctrine 2 one-to-many checkbox hydration,"doctrine-orm,zend-framework2,zend-form2",31,31
3,68541,73261,Why does one say IP fragmentation is bad and to be avoided when in reality data always needs to be fragmented for MTU compatibility?,"ipv4,tcp,udp,osi,fragmentation",13,13
17,97857,222676,Fibonacci Encoding,"code-golf,integer,binary,fibonacci,coding-theory",16,16
6,42982,626458,Do the “colors” live in a 3-dimensional vector space?,"electromagnetic-radiation,visible-light,wavelength,vision,popular-science",2,2
2,56730,86271,What options are there in Canada for treatment of severe depression and anxiety for pilots?,"helicopter,general-aviation,medical,canada",11,11
5,37467,63714,Is it legal for an oil company to charge customers a different price per gallon for the same oil?,consumer-protection,7,7
4,178152,590997,Best way to replicate this in latex,"equations,align,matrices",4,4
2,7434,63260,What is the largest political entity that lacks legislative power?,"international,legislation,local-government",16,16
6,3510,199927,"What will it take to get 1,000,000 people living in space habitats?","space,economy,space-colonization,space-constructs",10,10
1,413121,417971,Store matching files in icloud AND on Mac and Macbook,"macos,icloud,data-synchronization",3,3
1,2855173,47739214,Using a MTLTexture as the environment map of a SCNScene,"ios,swift,scenekit,metal,mtlbuffer",28,28
8,22584,424964,Getting buy-in for clean code and refactoring,"project-management,refactoring,clean-code,engineering",25,25
0,6589470,46071420,Using spring HATEOAS with spring webflux Functional Web Framework (reactor-netty),"java,spring,spring-boot,spring-hateoas,spring-webflux",28,28
0,-1,35983985,Qt5 VideoOverview example won't work,"linux,qt5,gstreamer,beagleboneblack,qtmultimedia",28,28
1,1660283,34203657,Crash in Activity Transitions with SharedElement,"android,android-5.0-lollipop,shared-element-transition,activity-transition",28,28
0,3072788,41158070,Future of roles for GADT-like type variables?,"haskell,types,ghc,roles,gadt",28,28
0,5381547,43090923,RubyMine doesn't see gems from bundle in Docker on Mac OS,"ruby-on-rails,ruby,docker,bundler,rubymine",28,28
0,614944,39682285,code signature in (/xxxxx) not valid for use in process using Library Validation,"macos,validation,codesign",28,28
1,6556658,43872295,Oracle SYS_CONNECT_BY_PATH equivalent query into SQL Server,"sql-server,tsql,hierarchical-data,recursive-query",28,28
3,2854656,53390308,Flutter show app icon badge on push notification,"flutter,push-notification,flutter-notification",28,28
3,43422,113343,How does Eb connect musically to C major chord progression like in this song?,"chords,scales,chord-theory,chord-progressions",8,8
0,3001276,59089860,Android emulator face recognition,"android,android-emulator,android-biometric-prompt,android-biometric",28,28
